Period,Interest rate. %
2018M12,-0.1
2019M01,-0.1
2019M02,-0.1
2019M03,-0.1
2019M04,-0.1
2019M05,-0.1
2019M06,-0.1
2019M07,-0.1
2019M08,-0.1
2019M09,-0.1
2019M10,-0.1
2019M11,-0.1
2019M12,-0.1
2020M01,-0.1
2020M02,-0.1
2020M03,-0.1
2020M04,-0.1
2020M05,-0.1
2020M06,-0.1
2020M07,-0.1
2020M08,-0.1
2020M09,-0.1
2020M10,-0.1
2020M11,-0.1
2020M12,-0.1
2021M01,-0.1
2021M02,-0.1
2021M03,-0.1
2021M04,-0.1
2021M05,-0.1
2021M06,-0.1
2021M07,-0.1
2021M08,-0.1
2021M09,-0.1
2021M10,-0.1
2021M11,-0.1
2021M12,-0.1
2022M01,-0.1
2022M02,-0.1
2022M03,-0.1
2022M04,-0.1
2022M05,-0.1
2022M06,-0.1
2022M07,-0.1
2022M08,-0.1
2022M09,-0.1
2022M10,-0.1
2022M11,-0.1
2022M12,-0.1
2023M01,-0.1
2023M02,-0.1
2023M03,-0.1
2023M04,-0.1
2023M05,-0.1
2023M06,-0.1
2023M07,-0.1
2023M08,-0.1
2023M09,-0.1
2023M10,-0.1
2023M11,-0.1
2023M12,-0.1
2024M01,-0.1
2024M02,-0.1
2024M03,0.05
2024M04,0.05
2024M05,0.05
2024M06,0.05
2024M07,0.05
2024M08,0.25
2024M09,0.25
